codigo,nombre,url,imagen,hex,rgb,familia,ambiente
66YY 88/114,Seda Matinal,https://www.alba.com.ar/es/paletas-de-colores/seda-matinal-66yy-88-114-1672603,,#F5EFD7,"245,239,215",Amarillo,
45YY 49/610,Semilla de Mostaza,https://www.alba.com.ar/es/paletas-de-colores/semilla-de-mostaza-45yy-49-610-1672085,,#DDB338,"221,179,56",Amarillo,
53YY 82/133,Sensación Cremosa,https://www.alba.com.ar/es/paletas-de-colores/sensacion-cremosa-53yy-82-133-3137131,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234409.png,#F2E7CC,"242,231,204",Amarillo,
54YY 71/171,Sensación de Duna,https://www.alba.com.ar/es/paletas-de-colores/sensacion-de-duna-54yy-71-171-3137141,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234462.png,#E6D9B7,"230,217,183",Amarillo,
68YY 83/339,Sensación Matinal,https://www.alba.com.ar/es/paletas-de-colores/sensacion-matinal-68yy-83-339-1672613,,#F7EAA5,"247,234,165",Amarillo,
41YY 69/742,Sol Brillante *,https://www.alba.com.ar/es/paletas-de-colores/sol-brillante-41yy-69-742-1672036,,#FFCE38,"255,206,56",Amarillo,
54YY 85/291,Sol Celestial,https://www.alba.com.ar/es/paletas-de-colores/sol-celestial-54yy-85-291-1672440,,#FBE5AD,"251,229,173",Amarillo,
60YY 62/755,Sol de Primavera *,https://www.alba.com.ar/es/paletas-de-colores/sol-de-primavera-60yy-62-755-1672523,,#ECC722,"236,199,34",Amarillo,
37YY 61/877,Sol Espléndido *,https://www.alba.com.ar/es/paletas-de-colores/sol-esplendido-37yy-61-877-1671949,,#FFC100,"255,193,0",Amarillo,
45YY 67/662,Sol Matinal,https://www.alba.com.ar/es/paletas-de-colores/sol-matinal-45yy-67-662-1672097,,#FCCD46,"252,205,70",Amarillo,
45YY 77/424,Soleado,https://www.alba.com.ar/es/paletas-de-colores/soleado-45yy-77-424-1672109,,#FFDC8C,"255,220,140",Amarillo,
45YY 65/334,Soneto Portugués,https://www.alba.com.ar/es/paletas-de-colores/soneto-portugues-45yy-65-334-1672092,,#E8CC8D,"232,204,141",Amarillo,
34YY 61/672,Sublime Luz Solar *,https://www.alba.com.ar/es/paletas-de-colores/sublime-luz-solar-34yy-61-672-1671927,,#F9C13B,"249,193,59",Amarillo,
